Ward,WASI_mean,WASI_std,Stress_Class,C2_Rainfall,C3_NDVI,C4_Population,C5_Slope
Kanziko,0.559,0.125,High,0.746,0.775,0.104,0.084
Township,0.54,0.062,Moderate,0.498,0.247,0.97,0.225
Ikutha,0.528,0.136,Moderate,0.758,0.576,0.157,0.085
Central,0.485,0.079,Moderate,0.93,0.0,0.38,0.307
Kyangwithya East,0.468,0.066,Moderate,0.494,0.017,0.692,0.629
Matinyani,0.449,0.059,Moderate,0.535,0.014,0.762,0.263
Nzambani,0.439,0.056,Moderate,0.476,0.153,0.614,0.422
Mumoni,0.437,0.049,Moderate,0.942,0.0,0.128,0.429
Kivou,0.433,0.057,Moderate,0.941,0.0,0.24,0.196
Kiomo/Kyethani,0.418,0.041,Moderate,0.942,0.0,0.169,0.228
Tharaka,0.412,0.035,Moderate,0.942,0.0,0.095,0.324
Waita,0.41,0.035,Moderate,0.942,0.0,0.145,0.224
Athi,0.408,0.134,Moderate,0.63,0.301,0.088,0.143
Mbitini,0.405,0.061,Moderate,0.505,0.307,0.489,0.132
Kyuso,0.395,0.028,Low,0.942,0.0,0.133,0.144
Mutonguni,0.392,0.093,Low,0.506,0.01,0.545,0.377
Kyome/Thaana,0.384,0.057,Low,0.821,0.009,0.217,0.183
Migwani,0.374,0.065,Low,0.497,0.07,0.366,0.541
Tseikuru,0.372,0.027,Low,0.942,0.0,0.067,0.096
Kisasi,0.353,0.066,Low,0.537,0.253,0.319,0.11
Ngomeni,0.351,0.013,Low,0.942,0.0,0.032,0.04
Kwavonza/Yatta,0.349,0.045,Low,0.75,0.096,0.111,0.2
Mulango,0.346,0.078,Low,0.499,0.11,0.428,0.153
Mutha,0.34,0.169,Low,0.468,0.585,0.018,0.038
Miambani,0.339,0.068,Low,0.401,0.11,0.254,0.696
Nguutani,0.339,0.064,Low,0.596,0.004,0.338,0.199
Kwa Mutonga/Kithumula,0.338,0.046,Low,0.598,0.073,0.276,0.213
Nguni,0.333,0.074,Low,0.875,0.01,0.036,0.058
Kanyangi,0.329,0.067,Low,0.54,0.33,0.138,0.184
Kauwi,0.328,0.047,Low,0.665,0.013,0.248,0.115
Kyangwithya West,0.319,0.062,Low,0.49,0.051,0.364,0.201
Mutomo,0.316,0.088,Low,0.334,0.512,0.193,0.221
Ikanga/Kyatune,0.312,0.064,Low,0.477,0.316,0.197,0.123
Nuu,0.31,0.085,Low,0.675,0.11,0.069,0.183
Mui,0.305,0.095,Low,0.584,0.123,0.137,0.213
Chuluni,0.304,0.076,Low,0.354,0.245,0.221,0.436
Mutito/Kaliku,0.271,0.074,Low,0.433,0.341,0.086,0.134
Voo/Kyamatu,0.27,0.051,Low,0.374,0.431,0.084,0.142
Zombe/Mwitika,0.224,0.077,Very Low,0.358,0.26,0.077,0.129
Endau/Malalani,0.139,0.093,Very Low,0.19,0.262,0.016,0.071
